Account,Post Link,Caption,Post Type,Comments,View,Video Duration
adidas,https://www.instagram.com/p/CWb4Ndivia1/,"“Rookie of the Year, and she's only just getting started 👀 @trinity_rodman 
#ImpossibleIsNothing” • Nov 18, 2021 at 11:26pm UTC",image,219,,0.0
adidas,https://www.instagram.com/p/CV8D-kSAkQb/,"“Find your own path.​  @pereschepchirchirngeno saw possibilities to set her own benchmarks and grow from being fast, to becoming the…”",video,690,122523.0,30.07
adidas,https://www.instagram.com/p/CVJPyVZh02s/,"“Hometown Hero.  Chicago has a leader, teammate and Ace to rally behind. Congrats to the 2021 champions.   @candaceparker @wnba…”",image,326,,0.0
adidas,https://www.instagram.com/p/CU-krb-A_C2/,,image,378,,0.0
adidas,https://www.instagram.com/p/CU0L8bPI7Kh/,"“It all started with a ball.​  @leomessi saw possibilities to be more than the greatest footballer ever.​  That through the power of sport,…”",video,749,420173.0,30.0
adidas,https://www.instagram.com/p/CUP-vukhUM3/,"“As South Africa’s first Black rugby captain @siya_kolisi_the_bear, saw the possibilities of uniting all people through sport so that we can…”",video,376,126469.0,30.0
adidas,https://www.instagram.com/p/CT4zK5aFvwy/,"“Mother. Daughter. Hooper. Leader.​  To some she’s Candace, to others she’s Ace. To all, she’s an inspiration.​  From prodigy to icon,…”",video,400,110365.0,60.013
adidas,https://www.instagram.com/p/CTurnahJHSR/,"“Records are made to be broken.  Today, Agnes Jebet Tirop of Kenya and Senbere Teferi of Ethiopia, went faster than ever before.…”",collection,220,,0.0
adidas,https://www.instagram.com/p/CTdEYuep4Sv/,“Sport is for everyone.”,collection,769,,0.0
adidas,https://www.instagram.com/p/CS9bAfptgyR/,"“""She never saw what she could not, only what she could""  Shoko Ota is redefining what it means to be an athlete. Because where some see a…”",video,17424,173764.0,30.0
adidas,https://www.instagram.com/p/CS7E1jeqrO7/,"“Members Week is officially live. ​  Unforgettable experiences, exclusive rewards and much more. ​  Are you in?  Download the adidas app or…”",video,3042,174918.0,15.0
adidas,https://www.instagram.com/p/CSUHsgjg8-o/,“See sport show a world of endless possibilities.”,collection,907,,0.0
