,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,artbymoga,https://www.instagram.com/p/CV3GGr2vLmd/,“🦃🔪🔪🎅🏽 (swipe for the OG comic)”,collection,264,,0
1,artbymoga,https://www.instagram.com/p/CVkiEIZpnyi/,“Half a bag tends to be my serving size. 🎃🍫”,image,95,,0
2,artbymoga,https://www.instagram.com/p/CVKsYDeg5GS/,“The endless cycle”,image,92,,0
3,artbymoga,https://www.instagram.com/p/CU43ENPFFPn/,“It’s like a K-Pop star and Jabba the Hutt took a selfie….”,image,152,,0
4,artbymoga,https://www.instagram.com/p/CUxJsErlKXr/,“Every. Single. Time.”,image,254,,0
5,artbymoga,https://www.instagram.com/p/CUoGIyhJ-UA/,“What a shame…”,image,195,,0
6,artbymoga,https://www.instagram.com/p/CUV5sOsv4Ui/,“Little Spoon”,image,261,,0
7,artbymoga,https://www.instagram.com/p/CUKYWsQFAsS/,“It begins. (Swipe for my original 2016 [2015?] comic!)”,collection,372,,0
8,artbymoga,https://www.instagram.com/p/CTSMEk8F_2S/,,image,233,,0
9,artbymoga,https://www.instagram.com/p/CTSLuKnFtJQ/,“🎃🕷🍂💀🍁🕸👻”,image,124,,0
10,artbymoga,https://www.instagram.com/p/CSKXCOKpoZU/,“✨💕🌈 RAINBOW SPRINKLES!🌈💕✨ Hi friends! I am alive! I was rushed to the ER for emergency surgery mid-July and have been in recovery. (Shout…”,image,520,,0
11,artbymoga,https://www.instagram.com/p/CRVAM3Fho1P/,“New profile picture! Hope you are having a good day 💖✨”,image,67,,0
