Account,Post Link,Caption,Post Type,Comments,View,Video Duration
caistudio,https://www.instagram.com/p/CWdcaXcpD6C/,"“#flashbackfriday 💨🪁

Video by 33 Studio.”",video,4,1881.0,31.991
caistudio,https://www.instagram.com/p/CWYS59zg7F8/,"“想念你啊…😭 - 蔡
How I miss you…😭 - Cai
 
All artworks featured are by Cai’s grandmother. Video by 33 Studio.”",video,23,4342.0,49.678
caistudio,https://www.instagram.com/p/CWT0lnjJjbz/,“A small roundup of visitor snapshots 📸 from the ongoing Odyssey and Homecoming exhibition at #MAP  Photos by @satoru_elerepetto…”,collection,11,,0.0
caistudio,https://www.instagram.com/p/CWN_v8RAznz/,"“Something exciting in progress… 💭🧱 

Photos by Dongxia.”",collection,3,,0.0
caistudio,https://www.instagram.com/p/CWDzczdpjjQ/,,video,19,8843.0,24.219
caistudio,https://www.instagram.com/p/CV-oNdBpB9F/,,video,3,5167.0,56.333
caistudio,https://www.instagram.com/p/CV5TifNpbqU/,,collection,2,,0.0
caistudio,https://www.instagram.com/p/CV2vCE5lKe5/,"“More from the exhibition commissioned by @fruitmarketgallery and @natgalleriessco in Edinburgh in 2005…  Life Beneath the Shadow, a series…”",collection,1,,0.0
caistudio,https://www.instagram.com/p/CVsah7MFYj6/,"“From the archives on #halloween : 🔥 👻 Burning Dolls (shown here installed as part of Life Beneath the Shadow, an exhibition staged in 2005…”",collection,10,,0.0
caistudio,https://www.instagram.com/p/CViH_WlJaS0/,"“《孩子的外星人》Child’s Alien, 2021. Gunpowder on canvas. 《孩子的外星人和他们的飞碟》 Child’s Alien and Flying Saucers, 2021. Gunpowder on paper.  Video edited…”",video,9,8759.0,136.433
caistudio,https://www.instagram.com/p/CVSrWnEAZgI/,"““今年的最后一幅画，秋叶不愁人心愁” - Cai  “The last painting of this year, autumn leaves don’t worry but our hearts do” - Cai  Painting created on October…”",collection,6,,0.0
caistudio,https://www.instagram.com/p/CVNi0xsA6K8/,,collection,15,,0.0
