Account,Post Link,Caption,Post Type,Comments,View,Video Duration
instagram,https://www.instagram.com/p/CWgiVIHBiYu/,"“November 20th in Brazil is Dia da Consciência Negra, or Black Awareness Day. This year, activist and content creator Bielo (@hellobielo)…”",video,984,158750.0,48.995
instagram,https://www.instagram.com/p/CWdvJycDfPS/,"“For 15-year-old actress Saniyya Sidney (@saniyyasidney), preparing to portray one of the world’s greatest athletes was no small feat.…”",video,4317,2038590.0,193.88
instagram,https://www.instagram.com/p/CWbWE02DSWK/,"“🎶💛🎤 Giulia Be (@giulia) is nominated for “Best New Artist” at this year’s Latin Grammy Awards (@latingrammys), which celebrate and honor…”",video,6286,2754871.0,59.931
instagram,https://www.instagram.com/p/CWY0k99jzLv/,"“See a pattern? ⚪️✂️❄️

Reel by @devincaherly
Music by @oliviarodrigo”",video,4761,2963886.0,14.815
instagram,https://www.instagram.com/p/CWYnxGBv4dZ/,"““Every day, I experience and see all the things that are unfair to me and my Indigenous sisters and brothers,” says 19-year-old…”",image,7128,,0.0
instagram,https://www.instagram.com/p/CWWPu6eDtZi/,"“No drone? No problem.  When actor Will Smith (@willsmith) found himself in need of camera equipment that was nowhere to be found, video…”",video,7518,6513928.0,57.214
instagram,https://www.instagram.com/p/CWWCxF8Dib8/,"““I try to observe and appreciate the humor in the everyday,” says 20-year-old Hannah Montoya (@hannah.montoya). “People are inherently…”",video,3938,2165569.0,36.167
instagram,https://www.instagram.com/p/CWTeRhIvA4X/,"“🎧 🎛️ Beautifully controlled chaos. 🎛️ 🎧⁣ ⁣ That’s how one listener described 16-year-old Moore Kismet’s (@moorekismet) original electronic…” • Nov 15, 2021 at 5:06pm UTC",image,6906,,0.0
instagram,https://www.instagram.com/p/CWOhxk4PvzT/,““Growing up in Atlanta really made me so in touch with ‘realness.’ I’m going to be real at all times. The same way my environment kept it…”,collection,11856,,0.0
instagram,https://www.instagram.com/p/CWMVgdUDQcD/,"“Saved by the bell 🛎🤩🙌  On today’s #WeeklyFluff, meet Lupo (@lupothepeke): a super social Pekingese pup who found a fun rainy day activity.…”",video,7139,4777805.0,14.095
instagram,https://www.instagram.com/p/CWL_WlyPpfW/,"“Together, artists Anderson .Paak (@anderson._paak) and Bruno Mars (@brunomars) are @silksonic… a super duo made in R&B heaven. 🎤🎵⭐️🎵🎤⁣ ⁣…”",image,5843,,0.0
instagram,https://www.instagram.com/p/CWJYHXkDqVm/,"“Now is a good time for a vibe break. 😎

Reel by @treclements 
Music by @vantagenoise” • Nov 11, 2021 at 7:01pm UTC",video,6219,3602200.0,15.07
