Account,Post Link,Caption,Post Type,Comments,View,Video Duration
jr,https://www.instagram.com/p/CWfP-TGL1_s/,“Paper and Glue Premiere in Los Angeles @museumoftolerance with the beautiful speech of the unique @angelinajolie and  amazing guest like…”,collection,342,,0
jr,https://www.instagram.com/p/CWYml9kvMMa/,“Kevin is out today …”,collection,359,,0
jr,https://www.instagram.com/p/CWYgQe2JC5g/,"“Back in Tehachapi Prison in California , more in my IG stories just today”",collection,333,,0
jr,https://www.instagram.com/p/CWG9XhJv5LC/,"“New special installation at the Angelika Film Center to celebrate the opening of my latest documentary, #PaperAndGlueFilm! I look forward…”",image,118,,0
jr,https://www.instagram.com/p/CV-cbNWl7ij/,"“#Repost @darrenaronofsky ・・・ six years ago, when @jr and i presented the #STANDINGmarch at #paris #cop21 , we were filled with hope and…”",collection,166,,0
jr,https://www.instagram.com/p/CV5aeKWlk4I/,"“2 of my favorite artists @joseparla @kaws , finally all reunited 💪🏼💪🏼💪🏼 congrats @kaws on your new show @skarstedtgallery”",image,83,,0
jr,https://www.instagram.com/p/CVlOD8Ctwn7/,"“'Applications have closed for #GreetingsfromGiza. Thanks to all who applied!  There were 104,932 applications for a total of 377,701 NFTs.…”",image,99,,0
jr,https://www.instagram.com/p/CVkgN1ftmH4/,"“Just a few hours before we close the applications for my first NFT ✌🏻 more on @heni , have you applied ?” • Oct 28, 2021 at 11:18am UTC",image,85,,0
jr,https://www.instagram.com/p/CVfdtrTNeMq/,"“Inside the pyramids 4:15 AM 📍 
📷 @justinweiler”",collection,188,,0
jr,https://www.instagram.com/p/CVaHsNaNlEX/,"“When we come to town …” • Oct 24, 2021 at 10:32am UTC",collection,147,,0
jr,https://www.instagram.com/p/CVU6aHANOm7/,“📍”,collection,308,,0
jr,https://www.instagram.com/p/CVS1ngkNOwf/,"“Greetings from Giza. Playing with the idea of a postcard in front of the pyramid of Khafre, which dates back 2,570 B.C. , this installation…”",collection,704,,0
