Account,Post Link,Caption,Post Type,Comments,View,Video Duration
kaws,https://www.instagram.com/p/CWf5Zyhr9id/,“Amazing to see the turn out for KAWS HOLIDAY: SINGAPORE on the second to last day! The viewing ends tomorrow (Nov. 21st) at 9pm.  #KAWS…”,collection,54,,0.0
kaws,https://www.instagram.com/p/CWfRLzTg7P-/,"“Tomorrow Nov. 21st is the last day to visit KAWS HOLIDAY: SINGAPORE !

#KAWS @arr.allrightsreserved #Singapore #timeflies 
📷 @j9ryl”",image,104,,0.0
kaws,https://www.instagram.com/p/CWdQ-a2LQ3H/,"“Good morning…
People and Otters visiting KAWS HOLIDAY in Singapore tonight.
#KAWS @arr.allrightsreserved  #Singapore”",collection,242,,0.0
kaws,https://www.instagram.com/p/CWZkrhtjVZQ/,"“Great to visit the Brooklyn Museum tonight for the opening of Andy Warhol: Revelation November 19, 2021–June 19, 2022  Congrats @jjjcccdiaz…”",collection,51,,0.0
kaws,https://www.instagram.com/p/CWZZIabrD8f/,“Thank you @jontywilde ! Safe travels! #Repost @jontywilde ・・・ The real genius behind my photography…  @kaws #kaws #kawsspoketoosoon…”,image,63,,0.0
kaws,https://www.instagram.com/p/CWYLHrzru0p/,"“Happy Birthday Mr. @futuradosmil @futuralaboratories ! Thanks for all the years of inspiration!!
📷 by @wangyworld”",image,94,,0.0
kaws,https://www.instagram.com/p/CWYGa4FrNXg/,“Good Night Singapore..  #Repost @sklamallrightsreserved ・・・ Beautiful Night in Singapore 🌟  📷 @rkrkrk   @KAWS @ARR.AllRightsReserved…”,collection,82,,0.0
kaws,https://www.instagram.com/p/CWYEtzLrH_a/,"“Good morning…
The limited blue box will release today at 10am EST on shop.kawspuffs.com  #KAWS #KAWSPUFFS @reesespuffs”",image,659,,0.0
kaws,https://www.instagram.com/p/CWXBJ8ujzid/,"“Joseph Yoakum opened tonight at @themuseumofmodernart 👌
#JosephYoakum”",collection,26,,0.0
kaws,https://www.instagram.com/p/CWS9wRKL8CE/,"“KAWS HOLIDAY SINGAPORE will reopen for free to the public tomorrow!   This evening, and after hearing arguments from our legal team, the…”",image,379,,0.0
kaws,https://www.instagram.com/p/CWP2r5-KS4R/,“#otters 💪💪💪   #Repost @patricchoy ・・・ Sunday Walk big surprise - wanted to see the Kaws art installation at marina bay and was treated to…”,video,167,159585.0,51.333
kaws,https://www.instagram.com/p/CWPUGlqKJL9/,"“#Repost @jontywilde
・・・
KAWS: SHARE 2021

#KAWS @KAWS #spoketoosoon @skarstedtgallery @elinchrom_ltd @_fujilove_ @fujifilmuk #sculpture”",image,64,,0.0
