,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,leomessi,https://www.instagram.com/p/CWYvs7pjkIS/,“Recién aterricé en París con la inmensa alegría de haber conseguido el objetivo del pase al Mundial de Qatar. Es sin duda la frutilla del…”,video,44684,15532504,20.133
1,leomessi,https://www.instagram.com/p/CWUsU5eDkuO/,“😍😍❤️❤️”,video,70770,38418803,5.566
2,leomessi,https://www.instagram.com/p/CWT_AqPMLsF/,,image,49085,,0.0
3,leomessi,https://www.instagram.com/p/CWJOSIMrjAZ/,“⚪️💥 #createdwithadidas”,image,44343,,0.0
4,leomessi,https://www.instagram.com/p/CWG4RaOjFy0/,“Si todavía no tenés la app de @themessistore… ahora es el momento. 😉📲 Clicá en la historia para descargar.  If you don't have…”,video,8373,5280281,22.586
5,leomessi,https://www.instagram.com/p/CVXzlPtsoJj/,,image,84863,,0.0
6,leomessi,https://www.instagram.com/p/CVS_FG6ttod/,"“Las camperas SOLARball de @themessistore se agotaron el año pasado, pero ya está disponible la preventa de la nueva edición limitada con…”",collection,20750,,0.0
7,leomessi,https://www.instagram.com/p/CVQadwhMMeb/,“@jacobandco X Messi watch collection.”,collection,44274,,0.0
8,leomessi,https://www.instagram.com/p/CVOikzzNuI4/,“Vamooosss!!! Era importante ganar hoy en la @championsleague y fuimos capaces de darlo vuelta!”,collection,68727,,0.0
9,leomessi,https://www.instagram.com/p/CVK2wtBMHZu/,“@championsleague 👀⚽️”,collection,28498,,0.0
10,leomessi,https://www.instagram.com/p/CVD6bNkjdCA/,"“ｉｍｐｏｓｓｉｂｌｅ 

ｉｓ  ｎｏｔｈｉｎｇ

@adidasfootball 🤝 @badbunnypr 

#createdwithadidas”",video,29380,9935142,30.0
11,leomessi,https://www.instagram.com/p/CVCED5bKhMh/,"“Partido duro, difícil de jugar. Mucho viento, ellos todos atrás dejando pocos espacios. El árbitro siempre que nos dirige hace lo mismo,…”",collection,66182,,0.0
