,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,neymarjr,https://www.instagram.com/p/CWgBkzfoNhq/,“Que Deus nos abençoe e nos proteja 🙏🏽⚽️”,image,34,,0
1,neymarjr,https://www.instagram.com/p/CWdl7dCIHfU/,“Training session ⚽️”,collection,31,,0
2,neymarjr,https://www.instagram.com/p/CWRUVX5Lewp/,“👑 🐐 @lewishamilton 🇧🇷”,image,28,,0
3,neymarjr,https://www.instagram.com/p/CWMR4xNrNRL/,"“Bom te ver irmão, te amo ❤️ @gabrielmedina”",image,31,,0
4,redbull,https://www.instagram.com/p/CWMJkbHA2rR/,“last night's match in Brazil was a real treat 😎🇧🇷  you're in for another one as we keep the fun times going in Through The Phone 🕺📱…”,video,5271,3817904,136.553
5,neymarjr,https://www.instagram.com/p/CWL03_MLbu7/,“❤️🇧🇷😍”,image,53,,0
6,neymarjr,https://www.instagram.com/p/CWKStSbLJGL/,“Partiu QATAR 🇶🇦”,image,68,,0
7,neymarjr,https://www.instagram.com/p/CWJvtJ5LfiY/,“Que Deus nos abençoe e nos proteja 🙏🏽🇧🇷⚽️”,image,56,,0
8,neymarjr,https://www.instagram.com/p/CWEovjRLfc5/,“🇧🇷⚽️👱🏽‍♂️”,image,37,,0
9,neymarjr,https://www.instagram.com/p/CV85PktIGlg/,"“Marília Mendonça, 2 gols pra você do seu eterno fã 🖤😢”",collection,168,,0
10,neymarjr,https://www.instagram.com/p/CV8ahnXIeHS/,“Que Deus nos abençoe e nos proteja 🖤🕊🙏🏽”,image,29,,0
11,neymarjr,https://www.instagram.com/p/CV6Sobuo8ct/,"“Uma das melhores surpresas que eu tive na vida. Ter você cantando parabéns pra mim, que honra a minha.  Você marcou teu nome no brasil e no…”",collection,143,,0
