Account,Post Link,Caption,Post Type,Comments,View,Video Duration
nike,https://www.instagram.com/p/CWbihymMLaz/,"“Welcome to NIKELAND on @roblox, where sport has no rules. Sound on 🔊 @champagnepapi 

Hit the link in our bio and start exploring!”",video,4989,3332092.0,52.95
nike,https://www.instagram.com/p/CWYnHD3FKze/,"““It doesn’t matter where you start because when you play to lift your people, no hoop is too high.”   The world may know @giannis_an34 as…”",video,578,1024873.0,59.986
nike,https://www.instagram.com/p/CWW7gdKpEKH/,"“Whether you’re holding it in the air or wearing a boxing glove, your fist can pack a powerful punch. 🥊  Meet Janaya Future Khan, the…” • Nov 17, 2021 at 1:20am UTC",video,439,657126.0,59.119
nike,https://www.instagram.com/p/CWCGCPXP6wj/,"“Never Done challenging yourself. 🙌  For the last 42 days, running legend Shalane Flanagan has been on a mission to run 6 marathons. …”",collection,1735,,0.0
nike,https://www.instagram.com/p/CVyHP5LPrGo/,“Never Done inspiring each other. 💪  “Seeing these kids creating their own vision of running gives me a lot of hope. They put their energy…”,collection,1303,,0.0
nike,https://www.instagram.com/p/CVicA61JrlC/,"“Never Done creating space ✨  “I want to give Black women everything I can through trail running.”  Last summer, London running coach…”",collection,1878,,0.0
nike,https://www.instagram.com/p/CVOTZ_8rpJu/,“The reason @Giannis_an34 started is the reason he keeps going. Now he’s more determined than ever after last season’s title run. 💪”,video,10138,1054404.0,30.092
nike,https://www.instagram.com/p/CVLWtTxJSpp/,“Come for the game. Stay for the love. It's good to be back together again.”,video,4103,5134536.0,42.633
nike,https://www.instagram.com/p/CVDiRc_lk_1/,"““I'm gay 24/7. That's how I show my pride year round.” - @giveme1shot__    Out and proud Olympians, like Raven Saunders, are on the rise,…”",collection,3180,,0.0
nike,https://www.instagram.com/p/CVBA3zZpmdT/,"““My generation is all about being brave, being strong, and doing it because you love it.” - @skybrown  Sky, the world’s youngest pro…”",video,1273,942967.0,29.775
nike,https://www.instagram.com/p/CU-YfDbFMmf/,“Kin at all costs. 🐯 🥷✊  That is the mantra of @kinjaz. It means these movement ninjas support and elevate each other to reach their highest…”,collection,1469,,0.0
nike,https://www.instagram.com/p/CU7mVfmlI8c/,“This team of young girls in Philadelphia is claiming their place in the sport of lacrosse. And they’re doing it with an inspiring amount of…”,video,772,1124403.0,15.324
