,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,obeygiant,https://www.instagram.com/p/CWd8Hv3v3Iw/,"“I second everything Chris said about Mick and I’ll add that he was one of the rare artists who had the eye, the taste, the charm, and the…”",image,33,,0
1,obeygiant,https://www.instagram.com/p/CWYsIpGP8Eu/,“Thank you @robbiejeffers for snapping these nice film shots at the opening night of HOUSE33: BAD INFLUENCES. Also thanks to everyone who…”,collection,15,,0
2,obeygiant,https://www.instagram.com/p/CWWKncJvXHb/,"“NEW Print Release: ""Cultivate Justice"" (Blue & Red) Available Thursday, 11/18 @ 10 AM PST⁠⁠ ⁠⁠ My work primarily revolves around concepts…”",collection,47,,0
3,obeygiant,https://www.instagram.com/p/CWRJXxQvx68/,"“NEW @underdogs_gallery EXCLUSIVE print release, “AR-15 Lily Portugal"" for subscribers of the Underdogs newsletter dropping November 19th!…”",image,67,,0
4,obeygiant,https://www.instagram.com/p/CWEH_72vMkM/,"“NEW Print Release: ""Sadistic Dog Walker"" (Diptych) @nevermade x Shepard Fairey⁠⁠ Available Thursday, November 11th @ 10 AM PDT!⁠⁠ ⁠⁠ I’ve…”",collection,47,,0
5,obeygiant,https://www.instagram.com/p/CV6lEp4Fv5d/,"“Here's a pic by my long-time friend and often partner in crime, Lance De Los Reyes, aka graffiti artist RAMBO. He painted the upside-down…”",collection,135,,0
6,obeygiant,https://www.instagram.com/p/CV5y62uDXRW/,“My friend and collaborator Francisco Reyes Jr. will show our “Sadistic Dog Walker” collaboration we did exclusively at @complexcon this…”,video,9,12052,90.05
7,obeygiant,https://www.instagram.com/p/CVyVXINhpj3/,"“NEW Print Release: “People's Discontent"" Available Thursday, 11/4 @ 10 AM PDT!  I teamed up with my good friend and documentary…”",collection,57,,0
8,obeygiant,https://www.instagram.com/p/CVwRK8EJPP-/,"“Check out this video from @underdogs_gallery about my Dream Edition tile that’s releasing through their online store this Wednesday, 11/3 @…”",video,60,38402,44.366
9,obeygiant,https://www.instagram.com/p/CVsr4h0JATA/,“Happy Halloween! Thanks to @origamibyfrasco who made this killer jack-o'-lantern version of the mashup between the Powell-Peralta Ripper…”,image,44,,0
10,obeygiant,https://www.instagram.com/p/CVoQA9Tvlw5/,"“I’m here with my friends Andy Cruz & @daviddodde of @houseindustries, checking out the HOUSE33: BAD INFLUENCES final install at my gallery…”",image,54,,0
11,obeygiant,https://www.instagram.com/p/CVlIyoLDWgS/,"“This Saturday, @obeyclothing is teaming up with @calimucho_sanpedro Screen Printing for LIVE SCREEN PRINTING at the @house___33 show at…”",video,17,14452,10.005
