Account,Post Link,Caption,Post Type,Comments,View,Video Duration
osgemeos,https://www.instagram.com/p/CWgC176LjzL/,"“#1944 #lithuania #vilnius 
Painted in 2010”",image,30,,0.0
osgemeos,https://www.instagram.com/p/CWQzG0grr2Q/,"“Drawings … desenhos ….
#osgemeos”",image,17,,0.0
osgemeos,https://www.instagram.com/p/CWGCBagK7Qr/,"“O escritor / the writer 1996 acrílica sobre tela 
Acervo #osgemeos #SEGREDOS 
@museuoscarniemeyer 
Retrospectiva #osgemeos”",image,45,,0.0
osgemeos,https://www.instagram.com/p/CV_NdeWqAGC/,“#Segredos #retrospectiva no @museuoscarniemeyer #curitiba ❤️”,collection,36,,0.0
osgemeos,https://www.instagram.com/p/CV2VM2bruZ2/,"“These are the first murals we did in München back in 1999, when we were invited by @loomit_official #Astrid and Peter , to come to the old…”",collection,70,,0.0
osgemeos,https://www.instagram.com/p/CVva_3irHWq/,“We believe in magic !!! 🌈❤️ 📸 @marialentsman”,image,103,,0.0
osgemeos,https://www.instagram.com/p/CVhrJFYqt1x/,"“🌈❤️🧡💛💚💙💜” • Oct 27, 2021 at 8:56am UTC",image,58,,0.0
osgemeos,https://www.instagram.com/p/CVbDTm3KHpm/,“It’s always good to be with the family again and again and again… @moulinjaune ❤️💛#slavapolunin #snowshow #clown #palhaço #teatro”,collection,58,,0.0
osgemeos,https://www.instagram.com/p/CVNG81CKFtX/,“@moulinjaune #slavapolunin #osgemeos”,image,30,,0.0
osgemeos,https://www.instagram.com/p/CVK0nA5qRAu/,"“a place without time @moulinjaune #snowshow #france
#osgemeos”",video,23,17786.0,4.4
osgemeos,https://www.instagram.com/p/CVINXMrqUBt/,“With our family in @moulinjaune #slavapolunin ❤️💛 for the exhibition  #ZIA #CentralExhibitionHallManege #Moscow 👉🏼 25 March till 30 June…”,image,77,,0.0
osgemeos,https://www.instagram.com/p/CVGiQDiLl5l/,“It's always good to see you brother! #barrymcgee #paris @asha.mcgee  love u guys ❤️🙏 congratulations for the show ! @galerieperrotin”,collection,56,,0.0
