,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,pauloctavious,https://www.instagram.com/p/CVy5ldTsfBP/,"“Elijah / 🖤

@elijaa_ / #boss #babe”",image,6,,0
1,pauloctavious,https://www.instagram.com/p/CVtptsDsSY0/,"“🩸Scorpio Season 🦂

Hogan McLaughlin SS22
@hoganmclaughlin 
Model: @alysialjohnson
Hair and Makeup: @billsafi”",image,2,,0
2,pauloctavious,https://www.instagram.com/p/CVtovMZM_4T/,,image,3,,0
3,pauloctavious,https://www.instagram.com/p/CVtmldAsSYt/,"“It's not the size of your fangs, it's how you bite.💀❤️ xo  Hogan McLaughlin SS22 @hoganmclaughlin  Model: @alysialjohnson Hair and Makeup:…” • Nov 1, 2021 at 12:07am UTC",image,4,,0
4,pauloctavious,https://www.instagram.com/p/CVtNjulgtbS/,"“Turned down a random street in Manhattan and found the Best Candy Shop EVER 😍💀🍭   📍Economy Candy - located on 108 Rivington St, New York,…”",video,20,28410,8.125
5,pauloctavious,https://www.instagram.com/p/CVVGtN-LwMQ/,,image,38,,0
6,pauloctavious,https://www.instagram.com/p/CVToRD1PiJf/,“#🌹🌹🥤Two Roses in a Pop Can / 2021”,image,7,,0
7,pauloctavious,https://www.instagram.com/p/CVMOXjnsSMC/,“David / Hubbard Street   This was one of my first time taking portraits of dancers on this scale. I kept calling them professional movers…”,image,4,,0
8,pauloctavious,https://www.instagram.com/p/CVLmR2eP7x3/,“Michael for Hubbard Street / 2021  I recent shot the @hubbardstreet upcoming season campaign and it was such a beautiful experience.…”,collection,9,,0
9,pauloctavious,https://www.instagram.com/p/CVEpS4_MVKa/,"“🩸Rune of the a Third Eye 

Hogan McLaughlin SS22
Photo by @pauloctavious
Model: @alysialjohnson
Hair and Makeup: @billsafi”",image,9,,0
10,pauloctavious,https://www.instagram.com/p/CU3qy6nsuzg/,,image,16,,0
11,pauloctavious,https://www.instagram.com/p/CUpwo3uLUlw/,“Bite Me ❣️ Look 4  Shot the recent @hoganmclaughlin collection and it is just stunnnnn!   🧛🏻‍♀️ The collection is a mix of horror fiction…”,image,9,,0
