,Account,Post Link,Caption,Post Type,Comments,View,Video Duration
0,sarahandersencomics,https://www.instagram.com/p/CWgLQf8A2_H/,,image,582,,0
1,sarahandersencomics,https://www.instagram.com/p/CWYj8qSLBay/,,image,1186,,0
2,sarahandersencomics,https://www.instagram.com/p/CWWUlqRP-w2/,“1000 signed copies of Oddball are available for preorder from @strandbookstore :) they are signed via bookplate and have a little cat…”,image,27,,0
3,sarahandersencomics,https://www.instagram.com/p/CWOJsXCtr7E/,,image,409,,0
4,sarahandersencomics,https://www.instagram.com/p/CWGbXsRNRyr/,,image,1695,,0
5,sarahandersencomics,https://www.instagram.com/p/CWBgoj3Pxzs/,"“SIGNED PRINT GIVEAWAY! 💛 In celebration of my latest book, “Oddball”, we are giving away 1000 signed prints! Link in bio and my stories.” • Nov 8, 2021 at 5:40pm UTC",collection,240,,0
6,sarahandersencomics,https://www.instagram.com/p/CV8BQuIAwbo/,,image,350,,0
7,sarahandersencomics,https://www.instagram.com/p/CV0S6NWDmfW/,,image,698,,0
8,sarahandersencomics,https://www.instagram.com/p/CVp_s2jtEFT/,,image,836,,0
9,sarahandersencomics,https://www.instagram.com/p/CViRWantMCM/,,image,727,,0
10,sarahandersencomics,https://www.instagram.com/p/CVf8Kk-gmxT/,“A little trailer for Oddball! 💛 link to preorder in bio.”,video,55,141441,27.05
11,sarahandersencomics,https://www.instagram.com/p/CVdic4xvvUF/,“Thank you so much @ringoawards for the award for best humor webcomic and best webcomic! It’s a huge honor! And thank you so much to my…”,image,56,,0
