Account,Post Link,Caption,Post Type,Comments,View,Video Duration
takashipom,https://www.instagram.com/p/CWdeOBYPHw2/,"“We opened VERDY’s @verdy solo show at @kaikaikikigallery today, November 19.  We invited the Japanese designer, famous for his fashion…”",collection,36,,0
takashipom,https://www.instagram.com/p/CWcUR99PJqH/,"“A recent post to a best friend yesterday I'm not fine, but is it okay? @madsaki said. However, I think that the feeling of this dark mood…”",collection,62,,0
takashipom,https://www.instagram.com/p/CWT1AsDh5EP/,"“One by one by.
🕷”",collection,105,,0
takashipom,https://www.instagram.com/p/CWOqWdwBWup/,"“@galerieperrotin 
@tonari_no_otakara”",collection,114,,0
takashipom,https://www.instagram.com/p/CWNXmxDPGI8/,"“We are finishing a painting. Whether big or small, the finishing process requires concentration and is daunting.”",collection,43,,0
takashipom,https://www.instagram.com/p/CWNVbs7P5Ab/,,collection,490,,0
takashipom,https://www.instagram.com/p/CWMG1fwBEFZ/,“Good morning AM 5:00”,collection,162,,0
takashipom,https://www.instagram.com/p/CWJ2IaThnLy/,“We are painting a small flower thing.”,collection,111,,0
takashipom,https://www.instagram.com/p/CWEZsRuBmwN/,“Looks easy. But super longe process who knows.🙇‍♂️”,collection,182,,0
takashipom,https://www.instagram.com/p/CV_n1E4PYY2/,"“At the end of October, 49 days after my father passed away, there was a ceremony for him to finally become a buddha, so I went to Kyoto…”",collection,952,,0
takashipom,https://www.instagram.com/p/CV9OmqtPttR/,“One of the my best friend artist @ninagawamika her show was great to be able to induce theatrical impressions. Amazing!”,collection,105,,0
takashipom,https://www.instagram.com/p/CV6OAGth6yL/,"“Everyone is hungry in the fall, isn't it? My heart friend, @muratashinwolf , is also making various dishes while making pottery! And he…”",collection,89,,0
