Account,Post Link,Caption,Post Type,Comments,View,Video Duration
therock,https://www.instagram.com/p/CWgirSolouM/,“THIS WEEKEND’s MOVIE VIEWING in your living rooms 🍿🥃  With friends like @gal_gadot & @vancityreynolds ~ I truly don’t need enemies 😈⚡️…”,video,881,199292.0,30.7
therock,https://www.instagram.com/p/CWfXn0nLJwm/,"“Wow 🙏🏾 me and @rawsonthurber (writer, director, creator of RED NOTICE💎) were TRULY SURPRISED, coming home to this tonight from our…”",collection,4524,,0.0
therock,https://www.instagram.com/p/CWesXJ-lQYB/,"“We’re giving away $500 BUCKS💰 to families in need, across the country for Thanksgiving and our amazing @chefputtie👩🏾‍🍳 is cookin’ up her…”",video,4298,2491817.0,274.966
therock,https://www.instagram.com/p/CWd8R3jFo7C/,"“In our Samoan & Hawaiian culture, family is called ~ Aiga & Ohana.   Our Polynesian cultures bind us together as one ~ these kids are my…”",video,1420,810203.0,349.4
therock,https://www.instagram.com/p/CWcBFiKFPGf/,"“You guys know I love surprising STAR TOUR BUSES that roll thru my hood!  🙀📱📣🤣  Well, one rolled thru my hood so I grabbed my team and went…”",video,6039,3990988.0,60.126
therock,https://www.instagram.com/p/CWaHI0Pl7CI/,“Breaking down the pec fibers.  Flat DB presses  120lbs slow and controlled.  10 reps with a 3 second negative and a slight squeeze pause at…”,video,10791,8176744.0,23.933
therock,https://www.instagram.com/p/CWZz-BZlCnb/,"“Our RED NOTICE success around the 🌎 is absolutely crazy!!   A phenomenon 🔥🔥   THANK YOU!!   RED NOTICE is the #1 FILM GLOBALLY on @Netflix…” • Nov 18, 2021 at 4:26am UTC",video,4045,2809455.0,30.983
therock,https://www.instagram.com/p/CWZPjOVFrBk/,“Wow 25 years ago TODAY I made my #SurvivorSeries debut in @WWE in the famed Madison Square Garden.   No one knew who the fuck I was or even…”,video,8733,9063624.0,30.166
therock,https://www.instagram.com/p/CWVHF7jlnXu/,“The AMAZING GLOBAL NEWS continues 🍿🌎🙏🏾  You’ve now made RED NOTICE THE BIGGEST OPENING WEEKEND OF ALL TIME for @netflix 🤯🤯🤯🥃  Tomorrow…”,video,5779,3743019.0,30.008
therock,https://www.instagram.com/p/CWUPlaWlGLL/,“Team @Xbox I need your help…  20 years ago me and my sunglasses launched the ORIGINAL XBOX to the world 🌎 🎮 😎  Now I'm sworn to protect the…”,video,4200,3699969.0,82.4
therock,https://www.instagram.com/p/CWR-PuWlgOt/,"“Bad ass song to train legs to 😄🦵🏾🎶   Smashed leg training this morning and finished with this reloaded power squat 4x25.  Give it a shot…” • Nov 15, 2021 at 3:09am UTC",video,21279,18297192.0,33.333
therock,https://www.instagram.com/p/CWRtAVTvNj7/,“That 7am Sunday mornin’ sun kissin’ the #ironparadise ☀️💪🏾😘  Fueled by the fastest growing energy drink in the market @zoaenergy 🍊💥 I…”,image,2877,,0.0
